cost,subset,n_bands,parameter,r_squared_mean,r_squared_sd,relative_rmse_pct_mean,relative_rmse_pct_sd,n_seeds
noise_normalized,+ SWIR window ±100 nm,85,Cm,0.5649625683431242,0.042607926596060004,19.017778012522434,0.9369720586189704,30
noise_normalized,+ SWIR window ±100 nm,85,Cw,0.8642017487270476,0.01236823893886986,10.627388856709157,0.4861871813662975,30
noise_normalized,+ SWIR window ±150 nm,125,Cm,0.736451308191082,0.024270253469474343,14.804602982247749,0.6774730348928908,30
noise_normalized,+ SWIR window ±150 nm,125,Cw,0.905718852357075,0.010164343914877269,8.851579458151141,0.477335121588284,30
noise_normalized,+ SWIR window ±200 nm,165,Cm,0.7865386031265689,0.022152934792858292,13.319725512519058,0.69527685126797,30
noise_normalized,+ SWIR window ±200 nm,165,Cw,0.9064004876792324,0.009841102316282732,8.820253532147877,0.46106691905193126,30
noise_normalized,+ SWIR window ±50 nm,45,Cm,0.45813204402438584,0.0437461846712274,21.23270515336435,0.8633812753203423,30
noise_normalized,+ SWIR window ±50 nm,45,Cw,0.8045807001154616,0.015948406821705514,12.751601867709493,0.509986124679078,30
noise_normalized,5-band multispectral (no SWIR),5,Cm,0.26831412517987047,0.0634685815916893,24.67001811901185,1.0745407913116833,30
noise_normalized,5-band multispectral (no SWIR),5,Cw,-0.9864458785327942,0.12168892895896749,40.66822342969365,1.2592009346734558,30
noise_normalized,Full hyperspectral (valid bands),366,Cm,0.6605201842232447,0.03224020883977385,16.800823772498212,0.8059391927283132,30
noise_normalized,Full hyperspectral (valid bands),366,Cw,0.8762222659161508,0.01215466237017429,10.144616272514298,0.49765133318200755,30
sam,+ SWIR window ±100 nm,85,Cm,0.275737294148307,0.06791623459521658,24.541075145998317,1.1492933492346977,30
sam,+ SWIR window ±100 nm,85,Cw,0.9145412942082202,0.010385195257313906,8.424067621874832,0.512026240530095,30
sam,+ SWIR window ±150 nm,125,Cm,0.5649307988506671,0.05005993765120648,19.009891522379334,1.1013660546658823,30
sam,+ SWIR window ±150 nm,125,Cw,0.9172538459619585,0.01041994927365387,8.287927504562898,0.5264347906437247,30
sam,+ SWIR window ±200 nm,165,Cm,0.6731745696410262,0.03070340106855391,16.485331522348993,0.7760576148990058,30
sam,+ SWIR window ±200 nm,165,Cw,0.9173189146613243,0.009854180453470956,8.286746538621436,0.4911708178431536,30
sam,+ SWIR window ±50 nm,45,Cm,-0.1405034416605184,0.1111605965562916,30.793862254341384,1.4889809727840828,30
sam,+ SWIR window ±50 nm,45,Cw,0.8493063577490518,0.015242576795970433,11.192465423260494,0.5676612854761638,30
sam,5-band multispectral (no SWIR),5,Cm,-0.6241692559172388,0.15069811907926964,36.75008659427904,1.7271482822645543,30
sam,5-band multispectral (no SWIR),5,Cw,-1.0117435502084602,0.14410927856461472,40.91954489885517,1.4713620132258414,30
sam,Full hyperspectral (valid bands),366,Cm,0.5159340201099698,0.03303851524730262,20.072999223570427,0.6846789519539214,30
sam,Full hyperspectral (valid bands),366,Cw,0.8890045803816328,0.009418453931135058,9.609347403715919,0.4060743844365436,30
sse,+ SWIR window ±100 nm,85,Cm,0.6956874577410461,0.03575544262246445,15.898238022533263,0.930068499964984,30
sse,+ SWIR window ±100 nm,85,Cw,0.9070529250497645,0.009709053866309792,8.789356107699964,0.4614749802618288,30
sse,+ SWIR window ±150 nm,125,Cm,0.7853083484457334,0.024763577766661927,13.35405432751045,0.771722305826163,30
sse,+ SWIR window ±150 nm,125,Cw,0.9125001482007372,0.00925623093055195,8.527903399687288,0.4478040256408963,30
sse,+ SWIR window ±200 nm,165,Cm,0.8276715181367147,0.019797391832565056,11.9642959455939,0.6904719915767163,30
sse,+ SWIR window ±200 nm,165,Cw,0.9130764817276737,0.009697496084370509,8.49822129091068,0.47628572847410894,30
sse,+ SWIR window ±50 nm,45,Cm,0.5333623041516778,0.043191820623745186,19.69846602449602,0.9238606217212616,30
sse,+ SWIR window ±50 nm,45,Cw,0.8359898393670886,0.012009294806979013,11.68339706754228,0.4293007169869935,30
sse,5-band multispectral (no SWIR),5,Cm,0.30941181055643857,0.06254033302752998,23.965628945778665,1.077855035747112,30
sse,5-band multispectral (no SWIR),5,Cw,-0.9827749487746812,0.11846679884938564,40.63185484361918,1.214995613898326,30
sse,Full hyperspectral (valid bands),366,Cm,0.6771285669764566,0.024599080821243548,16.39139777514872,0.6244105954868361,30
sse,Full hyperspectral (valid bands),366,Cw,0.8781349257096885,0.01076967882977604,10.06802647114505,0.44759828106086047,30
