k,parameter,mean_spread_std,spread_as_pct_of_range
10,N,0.29676935121064946,19.7846234140433
10,Cab,7.443622430151028,9.304528037688785
10,Car,5.1997863242903035,25.998931621451515
10,Ant,2.3239978044227083,23.239978044227083
10,Cw,0.004101896700109839,8.545618125228831
10,Cm,0.002346549461751913,13.036385898621738
10,LAI,0.8235560186035028,14.97374579279096
50,N,0.34169542825550875,22.779695217033918
50,Cab,10.50271941235698,13.128399265446225
50,Car,5.603654082309057,28.018270411545284
50,Ant,2.6727448350529865,26.727448350529862
50,Cw,0.005457051354756322,11.36885698907567
50,Cm,0.0028985966297290157,16.10331460960564
50,LAI,0.9747075958359168,17.72195628792576
100,N,0.35630306893281205,23.75353792885414
100,Cab,11.93945428773186,14.924317859664825
100,Car,5.666015736811162,28.33007868405581
100,Ant,2.7566965678303292,27.56696567830329
100,Cw,0.006065181572220328,12.635794942125681
100,Cm,0.003118927778996095,17.327376549978304
100,LAI,1.0322720055933257,18.76858191987865
