scene,subset,n_bands,parameter,r_squared_mean,r_squared_sd,relative_rmse_pct_mean,relative_rmse_pct_sd
01_France,+ SWIR window ±100 nm,85,Ant,0.06947816721469087,0.10424351254039795,27.807850198247486,1.5473203149416677
01_France,+ SWIR window ±100 nm,85,Cab,0.8544721496475247,0.013429073072871008,11.002259400959524,0.5068363845365339
01_France,+ SWIR window ±100 nm,85,Car,-0.9110931334161851,0.08546904003272375,39.90012240493927,0.882599369129049
01_France,+ SWIR window ±100 nm,85,Cm,0.6906175995282042,0.024496665569992082,16.044484557088424,0.6479203183582971
01_France,+ SWIR window ±100 nm,85,Cw,0.9011974061763202,0.009577474198174884,9.064050479532934,0.4483612779463025
01_France,+ SWIR window ±100 nm,85,LAI,0.4581769026096021,0.052487603749491164,21.224506881814673,1.0290674381686582
01_France,+ SWIR window ±100 nm,85,N,0.23348047225337587,0.09785777093453824,25.225238873903304,1.6335499274678205
01_France,+ SWIR window ±150 nm,125,Ant,-0.06582414264079862,0.11014955601481578,29.767573118876033,1.5172009162233384
01_France,+ SWIR window ±150 nm,125,Cab,0.821705351937237,0.017520000796038864,12.1762187284284,0.6041094520301782
01_France,+ SWIR window ±150 nm,125,Car,-0.9567893287976583,0.09091375757279656,40.37344383369083,0.9433447335407729
01_France,+ SWIR window ±150 nm,125,Cm,0.7788602028886309,0.024927046040900343,13.554757648305898,0.7750511190076412
01_France,+ SWIR window ±150 nm,125,Cw,0.9100188720512887,0.007519601655130866,8.652791842948583,0.358090722180328
01_France,+ SWIR window ±150 nm,125,LAI,0.5108395149835833,0.05729811148190302,20.15375544235331,1.242543474011073
01_France,+ SWIR window ±150 nm,125,N,0.2966046083612346,0.0634067009869001,24.18715694389926,1.1097096225731298
01_France,+ SWIR window ±200 nm,165,Ant,-0.16076600732580046,0.11089654953744768,31.0687622700075,1.4988958638286285
01_France,+ SWIR window ±200 nm,165,Cab,0.7809542843864575,0.025693889030753474,13.489908485045216,0.7978509772995876
01_France,+ SWIR window ±200 nm,165,Car,-0.9888473469868156,0.0719791205434122,40.707057213166166,0.7322781162119195
01_France,+ SWIR window ±200 nm,165,Cm,0.827820306592109,0.01633254622268241,11.965541429629386,0.57953259292551
01_France,+ SWIR window ±200 nm,165,Cw,0.9136832340950007,0.007510529192230691,8.473765469265453,0.37886460916823417
01_France,+ SWIR window ±200 nm,165,LAI,0.5623920177679599,0.045807322009686006,19.0701566114307,1.0201489119032137
01_France,+ SWIR window ±200 nm,165,N,0.31203446075663377,0.04819995441652581,23.92921175236242,0.860868450673116
01_France,+ SWIR window ±50 nm,45,Ant,0.1781155901326701,0.07225229534835685,26.148501069642368,1.1349869080400448
01_France,+ SWIR window ±50 nm,45,Cab,0.8752941717140124,0.011970855887028837,10.183961355412874,0.48863351718124287
01_France,+ SWIR window ±50 nm,45,Car,-0.9017672929818102,0.1289457578592948,39.79116444004456,1.3388845957764093
